grid_id,minx,miny,maxx,maxy,total_count
2620-37-10-41,120.71,21.991666666667,120.72,22.0,1
2620-37-10-42,120.72,21.991666666667,120.73,22.0,3
2620-37-10-43,120.73,21.991666666667,120.74,22.0,12
2620-37-10-44,120.74,21.991666666667,120.75,22.0,5
2620-37-11-00,120.75,21.958333333333,120.76,21.966666666667,2
2620-37-11-01,120.76,21.958333333333,120.77,21.966666666667,2
2620-37-11-02,120.77,21.958333333333,120.78,21.966666666667,2
2620-37-11-03,120.78,21.958333333333,120.79,21.966666666667,5
2620-37-11-04,120.79,21.958333333333,120.8,21.966666666667,17
2620-37-11-10,120.75,21.966666666667,120.76,21.975,6
2620-37-11-11,120.76,21.966666666667,120.77,21.975,2
2620-37-11-12,120.77,21.966666666667,120.78,21.975,2
2620-37-11-13,120.78,21.966666666667,120.79,21.975,1
2620-37-11-14,120.79,21.966666666667,120.8,21.975,14
2620-37-11-20,120.75,21.975,120.76,21.983333333333,2
2620-37-11-21,120.76,21.975,120.77,21.983333333333,1
2620-37-11-24,120.79,21.975,120.8,21.983333333333,4
2620-37-11-30,120.75,21.983333333333,120.76,21.991666666667,1
2620-37-11-31,120.76,21.983333333333,120.77,21.991666666667,8
2620-37-11-32,120.77,21.983333333333,120.78,21.991666666667,1
2620-37-11-33,120.78,21.983333333333,120.79,21.991666666667,2
2620-37-11-34,120.79,21.983333333333,120.8,21.991666666667,5
2620-37-11-40,120.75,21.991666666667,120.76,22.0,6
2620-37-11-41,120.76,21.991666666667,120.77,22.0,4
2620-37-11-43,120.78,21.991666666667,120.79,22.0,1
2620-37-11-44,120.79,21.991666666667,120.8,22.0,7
2620-38-00-01,120.81,21.916666666667,120.82,21.925,2
2620-38-00-02,120.82,21.916666666667,120.83,21.925,2
2620-38-00-03,120.83,21.916666666667,120.84,21.925,7
2620-38-00-04,120.84,21.916666666667,120.85,21.925,9
2620-38-00-11,120.81,21.925,120.82,21.933333333333,8
2620-38-00-12,120.82,21.925,120.83,21.933333333333,7
2620-38-00-13,120.83,21.925,120.84,21.933333333333,8
2620-38-00-14,120.84,21.925,120.85,21.933333333333,9
2620-38-00-20,120.8,21.933333333333,120.81,21.941666666667,7
2620-38-00-21,120.81,21.933333333333,120.82,21.941666666667,6
2620-38-00-22,120.82,21.933333333333,120.83,21.941666666667,3
2620-38-00-23,120.83,21.933333333333,120.84,21.941666666667,7
2620-38-00-24,120.84,21.933333333333,120.85,21.941666666667,5
2620-38-00-30,120.8,21.941666666667,120.81,21.95,3
2620-38-00-31,120.81,21.941666666667,120.82,21.95,6
2620-38-00-32,120.82,21.941666666667,120.83,21.95,7
2620-38-00-33,120.83,21.941666666667,120.84,21.95,13
2620-38-00-34,120.84,21.941666666667,120.85,21.95,10
2620-38-00-40,120.8,21.95,120.81,21.958333333333,8
2620-38-00-41,120.81,21.95,120.82,21.958333333333,22
2620-38-00-42,120.82,21.95,120.83,21.958333333333,15
2620-38-00-43,120.83,21.95,120.84,21.958333333333,5
2620-38-00-44,120.84,21.95,120.85,21.958333333333,5
2620-38-01-00,120.85,21.916666666667,120.86,21.925,4
2620-38-01-10,120.85,21.925,120.86,21.933333333333,1
2620-38-10-00,120.8,21.958333333333,120.81,21.966666666667,17
2620-38-10-01,120.81,21.958333333333,120.82,21.966666666667,56
2620-38-10-02,120.82,21.958333333333,120.83,21.966666666667,2
2620-38-10-03,120.83,21.958333333333,120.84,21.966666666667,4
2620-38-10-04,120.84,21.958333333333,120.85,21.966666666667,4
2620-38-10-10,120.8,21.966666666667,120.81,21.975,7
2620-38-10-11,120.81,21.966666666667,120.82,21.975,12
2620-38-10-12,120.82,21.966666666667,120.83,21.975,2
2620-38-10-13,120.83,21.966666666667,120.84,21.975,4
2620-38-10-14,120.84,21.966666666667,120.85,21.975,1
2620-38-10-20,120.8,21.975,120.81,21.983333333333,7
2620-38-10-21,120.81,21.975,120.82,21.983333333333,3
2620-38-10-22,120.82,21.975,120.83,21.983333333333,2
2620-38-10-23,120.83,21.975,120.84,21.983333333333,2
2620-38-10-24,120.84,21.975,120.85,21.983333333333,6
2620-38-10-30,120.8,21.983333333333,120.81,21.991666666667,9
2620-38-10-31,120.81,21.983333333333,120.82,21.991666666667,3
2620-38-10-32,120.82,21.983333333333,120.83,21.991666666667,5
2620-38-10-33,120.83,21.983333333333,120.84,21.991666666667,6
2620-38-10-34,120.84,21.983333333333,120.85,21.991666666667,13
2620-38-10-40,120.8,21.991666666667,120.81,22.0,3
2620-38-10-41,120.81,21.991666666667,120.82,22.0,10
2620-38-10-42,120.82,21.991666666667,120.83,22.0,2
2620-38-10-43,120.83,21.991666666667,120.84,22.0,7
2620-38-10-44,120.84,21.991666666667,120.85,22.0,3
2620-38-11-40,120.85,21.991666666667,120.86,22.0,4
2620-38-11-41,120.86,21.991666666667,120.87,22.0,4
2620-38-11-42,120.87,21.991666666667,120.88,22.0,2
2620-46-01-14,120.69,22.008333333333,120.7,22.016666666667,2
2620-46-01-23,120.68,22.016666666667,120.69,22.025,1
2620-46-01-24,120.69,22.016666666667,120.7,22.025,4
2620-46-01-33,120.68,22.025,120.69,22.033333333333,1
2620-46-01-44,120.69,22.033333333333,120.7,22.041666666667,3
2620-46-11-04,120.69,22.041666666667,120.7,22.05,6
2620-46-11-13,120.68,22.05,120.69,22.058333333333,1
2620-46-11-24,120.69,22.058333333333,120.7,22.066666666667,1
2620-47-00-02,120.72,22.0,120.73,22.008333333333,15
2620-47-00-03,120.73,22.0,120.74,22.008333333333,14
2620-47-00-04,120.74,22.0,120.75,22.008333333333,18
2620-47-00-12,120.72,22.008333333333,120.73,22.016666666667,1
2620-47-00-13,120.73,22.008333333333,120.74,22.016666666667,2
2620-47-00-14,120.74,22.008333333333,120.75,22.016666666667,4
2620-47-00-20,120.7,22.016666666667,120.71,22.025,2
2620-47-00-21,120.71,22.016666666667,120.72,22.025,2
2620-47-00-22,120.72,22.016666666667,120.73,22.025,2
2620-47-00-23,120.73,22.016666666667,120.74,22.025,1
2620-47-00-24,120.74,22.016666666667,120.75,22.025,4
2620-47-00-31,120.71,22.025,120.72,22.033333333333,2
2620-47-00-32,120.72,22.025,120.73,22.033333333333,18
2620-47-00-33,120.73,22.025,120.74,22.033333333333,1
2620-47-00-34,120.74,22.025,120.75,22.033333333333,2
2620-47-00-40,120.7,22.033333333333,120.71,22.041666666667,14
2620-47-00-41,120.71,22.033333333333,120.72,22.041666666667,5
2620-47-00-42,120.72,22.033333333333,120.73,22.041666666667,6
2620-47-00-43,120.73,22.033333333333,120.74,22.041666666667,3
2620-47-00-44,120.74,22.033333333333,120.75,22.041666666667,2
2620-47-01-00,120.75,22.0,120.76,22.008333333333,4
2620-47-01-01,120.76,22.0,120.77,22.008333333333,1
2620-47-01-02,120.77,22.0,120.78,22.008333333333,2
2620-47-01-03,120.78,22.0,120.79,22.008333333333,1
2620-47-01-04,120.79,22.0,120.8,22.008333333333,4
2620-47-01-10,120.75,22.008333333333,120.76,22.016666666667,2
2620-47-01-13,120.78,22.008333333333,120.79,22.016666666667,1
2620-47-01-14,120.79,22.008333333333,120.8,22.016666666667,4
2620-47-01-21,120.76,22.016666666667,120.77,22.025,5
2620-47-01-22,120.77,22.016666666667,120.78,22.025,3
2620-47-01-24,120.79,22.016666666667,120.8,22.025,2
2620-47-01-31,120.76,22.025,120.77,22.033333333333,4
2620-47-01-33,120.78,22.025,120.79,22.033333333333,9
2620-47-01-34,120.79,22.025,120.8,22.033333333333,2
2620-47-01-43,120.78,22.033333333333,120.79,22.041666666667,9
2620-47-01-44,120.79,22.033333333333,120.8,22.041666666667,5
2620-47-10-00,120.7,22.041666666667,120.71,22.05,8
2620-47-10-01,120.71,22.041666666667,120.72,22.05,5
2620-47-10-02,120.72,22.041666666667,120.73,22.05,5
2620-47-10-03,120.73,22.041666666667,120.74,22.05,2
2620-47-10-04,120.74,22.041666666667,120.75,22.05,3
2620-47-10-10,120.7,22.05,120.71,22.058333333333,11
2620-47-10-11,120.71,22.05,120.72,22.058333333333,4
2620-47-10-12,120.72,22.05,120.73,22.058333333333,4
2620-47-10-13,120.73,22.05,120.74,22.058333333333,3
2620-47-10-20,120.7,22.058333333333,120.71,22.066666666667,20
2620-47-10-21,120.71,22.058333333333,120.72,22.066666666667,7
2620-47-10-22,120.72,22.058333333333,120.73,22.066666666667,1
2620-47-10-30,120.7,22.066666666667,120.71,22.075,5
2620-47-10-31,120.71,22.066666666667,120.72,22.075,5
2620-47-10-32,120.72,22.066666666667,120.73,22.075,5
2620-47-10-33,120.73,22.066666666667,120.74,22.075,2
2620-47-10-40,120.7,22.075,120.71,22.083333333333,8
2620-47-10-41,120.71,22.075,120.72,22.083333333333,1
2620-47-10-42,120.72,22.075,120.73,22.083333333333,2
2620-47-10-43,120.73,22.075,120.74,22.083333333333,4
2620-47-10-44,120.74,22.075,120.75,22.083333333333,3
2620-47-11-01,120.76,22.041666666667,120.77,22.05,2
2620-47-11-03,120.78,22.041666666667,120.79,22.05,4
2620-47-11-04,120.79,22.041666666667,120.8,22.05,4
2620-47-11-14,120.79,22.05,120.8,22.058333333333,1
2620-47-11-20,120.75,22.058333333333,120.76,22.066666666667,2
2620-47-11-30,120.75,22.066666666667,120.76,22.075,2
2620-47-11-31,120.76,22.066666666667,120.77,22.075,4
2620-47-11-32,120.77,22.066666666667,120.78,22.075,2
2620-47-11-34,120.79,22.066666666667,120.8,22.075,3
